cid,cid_name,ddinter_name,ddinter_num,match_type,score
CID100000085,carnitine,,,unmatched,0.0
CID100000119,gamma-aminobutyric,gamma-aminobutyric acid,805,fuzzy,0.878
CID100000137,5-aminolevulinic,,,unmatched,0.0
CID100000143,leucovorin,leucovorin,1041,exact,1.0
CID100000146,5-methyltetrahydrofolate,,,unmatched,0.0
CID100000158,PGE2,,,unmatched,0.0
CID100000159,prostacyclin,,,unmatched,0.0
CID100000160,prostaglandin,,,unmatched,0.0
CID100000175,acetate,,,unmatched,0.0
CID100000187,acetylcholine,acetylcholine,18,exact,1.0
CID100000191,adenosine,adenosine,31,exact,1.0
CID100000206,glucose,,,unmatched,0.0
CID100000214,PGE1,,,unmatched,0.0
CID100000222,ammonia,,,unmatched,0.0
CID100000232,arginine,,,unmatched,0.0
CID100000244,benzyl,,,unmatched,0.0
CID100000247,betaine,,,unmatched,0.0
CID100000271,calcium,,,unmatched,0.0
CID100000297,graphene,,,unmatched,0.0
CID100000298,chloramphenicol,chloramphenicol,351,exact,1.0
CID100000303,bile,,,unmatched,0.0
CID100000305,choline,,,unmatched,0.0
CID100000311,citric,,,unmatched,0.0
CID100000312,chloride,,,unmatched,0.0
CID100000338,salicylate,,,unmatched,0.0
CID100000401,D-cycloserine,cycloserine,457,fuzzy,0.9167
CID100000444,bupropion,bupropion,252,exact,1.0
CID100000450,estradiol,estradiol,679,exact,1.0
CID100000453,mannitol,mannitol,1123,exact,1.0
CID100000564,EACA,,,unmatched,0.0
CID100000581,N-acetylcysteine,acetylcysteine,19,fuzzy,0.9333
CID100000596,cytarabine,cytarabine,460,exact,1.0
CID100000598,mesna,,,unmatched,0.0
CID100000612,lactate,,,unmatched,0.0
CID100000679,DMSO,,,unmatched,0.0
CID100000681,dopamine,dopamine,584,exact,1.0
CID100000698,estrone,estrone,682,exact,1.0
CID100000699,Oestrogen,,,unmatched,0.0
CID100000700,monoethanolamine,,,unmatched,0.0
CID100000727,lindane,lindane,1072,exact,1.0
CID100000738,glutamine,,,unmatched,0.0
CID100000750,glycine,,,unmatched,0.0
CID100000753,glycerol,,,unmatched,0.0
CID100000767,bicarbonate,,,unmatched,0.0
CID100000772,LMWH,,,unmatched,0.0
CID100000774,histamine,histamine,863,exact,1.0
CID100000785,quinol,,,unmatched,0.0
CID100000813,potassium,,,unmatched,0.0
CID100000815,kanamycin,kanamycin,1004,exact,1.0
CID100000838,epinephrine,epinephrine,652,exact,1.0
CID100000853,thyroxine,,,unmatched,0.0
CID100000861,triiodothyronine,,,unmatched,0.0
CID100000888,magnesium,,,unmatched,0.0
CID100000896,melatonin,melatonin,1142,exact,1.0
CID100000923,sodium,,,unmatched,0.0
CID100000937,niacin,niacin,1286,exact,1.0
CID100000942,nicotine,nicotine,1290,exact,1.0
CID100000946,nitrite,,,unmatched,0.0
CID100000948,nitrous,,,unmatched,0.0
CID100000951,norepinephrine,norepinephrine,1311,exact,1.0
CID100000961,hydroxyl,,,unmatched,0.0
CID100001003,phosphate,,,unmatched,0.0
CID100001046,pyrazinamide,pyrazinamide,1547,exact,1.0
CID100001054,pyridoxine,pyridoxine,1549,exact,1.0
CID100001065,quinidine,quinidine,1556,exact,1.0
CID100001071,retinol,,,unmatched,0.0
CID100001084,thiosulfate,,,unmatched,0.0
CID100001125,tetrahydrobiopterin,,,unmatched,0.0
CID100001130,thiamine,histamine,863,fuzzy,0.8235
CID100001134,thymidine,,,unmatched,0.0
CID100001206,methamphetamine,metamfetamine,1161,fuzzy,0.8571
CID100001301,naproxen,naproxen,1266,exact,1.0
CID100001546,cladribine,cladribine,392,exact,1.0
CID100001690,doxorubicin,doxorubicin,596,exact,1.0
CID100001727,4-AP,,,unmatched,0.0
CID100001775,phenytoin,phenytoin,1460,exact,1.0
CID100001798,methazolamide,methazolamide,1167,exact,1.0
CID100001805,5-azacytidine,azacitidine,148,fuzzy,0.8333
CID100001875,methylprednisolone,methylprednisolone,1191,exact,1.0
CID100001971,abacavir,abacavir,1,exact,1.0
