Severity level,Disease name,Text,References,drug_id
2,Long QT Syndrome,"Patients treated with ivosidenib can develop QTc prolongation and ventricular arrhythmias.  Concomitant use of ivosidenib with drugs known to prolong the QTc interval (e.g., antiarrhythmic medicines, ...More",,DDInter1000
2,Liver Failure,"The pharmacokinetics of ivosidenib in patients with severe renal impairment (eGFR <30 mL/min/1.73m2,), renal impairment requiring dialysis, moderate hepatic impairment (total bilirubin 1.5 to 3.0 time...More",,DDInter1000
3,Pancytopenia,"Ixabepilone is contraindicated in patients who have a neutrophil count <1500 cells/mm3 or a platelet count <100,000 cells/mm3.",,DDInter1001
3,Liver Diseases,The use of ixabepilone in combination with capecitabine is contraindicated in patients with AST or ALT >2.5 x ULN or bilirubin >1 x ULN due to increased risk of toxicity and neutropenia-related death.,,DDInter1001
2,Cardiovascular Diseases,"The use of ixabepilone in combination with capecitabine may increase cardiac adverse reactions, such as myocardial ischemia and ventricular dysfunction.  Care should be exercised when using this agent...More",,DDInter1001
2,Peripheral Nervous System Diseases,The use of ixabepilone in combination with capecitabine may cause peripheral neuropathy.  Patients treated with ixabepilone in combination with capecitabine should be monitored for symptoms of neuropa...More,,DDInter1001
2,Gastrointestinal Diseases,"Ixazomib may cause diarrhea, constipation, nausea, and vomiting.  Care should be taken when using this agent in patients experiencing gastrointestinal complications.  It is recommended to adjust the d...More",,DDInter1002
2,Hepatic Insufficiency,"Pharmacokinetic studies of ixazomib in patients with moderate to severe hepatic impairment, showed an increase AUC when compared to patients with normal hepatic function.  The pharmacokinetic of ixazo...More",,DDInter1002
2,Peripheral Nervous System Diseases,"Peripheral neuropathy has been reported with the use of ixazomib.  Patients should be monitored for symptoms of neuropathy and if they are experiencing new or worsening peripheral neuropathy, it is re...More",,DDInter1002
2,Kidney Diseases,Population PK analysis in patients with severe renal impairment or ESRD requiring dialysis showed an increase AUC when compared to patients with normal renal function.  The pharmacokinetic of ixazomib...More,,DDInter1002
2,Thrombocytopenia,Thrombocytopenia has been reported with the use of ixazomib.  It is recommended to monitor platelet counts regularly during treatment and to considered withholding therapy or dosage modifications and ...More,,DDInter1002
2,Infections,"Upper respiratory tract infections, oral candidiasis, conjunctivitis, and tinea infections have occurred with the use of ixekizumab.  Close monitoring or discontinuation of therapy is recommended in p...More",,DDInter1003
