Severity level,Food name,Description,Management,Mechanism,References,drug_id
3,grapefruit juice,Grapefruit juice may increase the plasma concentrations of ivosidenib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.Inhibition of hepatic CYP450 3A4 may also contribute.  The interaction has not been studied with grapefruit juice.,"Ivosidenib may be administered with or without food, but should not be administered with a high-fat meal.  Patients should avoid consumption of grapefruit and grapefruit juice during treatment with iv...More",Metabolism,,DDInter1000
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of ixabepilone.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,Patients treated with ixabepilone should avoid the consumption of grapefruit or grapefruit juice.,Metabolism,,DDInter1001
2,high-fat foods,Food may reduce the oral bioavailability of ixazomib.  A food effect study found that administration of a single 4 mg dose of ixazomib with a high-fat meal decreased ixazomib peak plasma concentration (Cmax) by 69% and systemic exposure (AUC) by 28%.,"Ixazomib should be taken at least one hour before or two hours after eating.  On days when both ixazomib and dexamethasone are administered, advise patients to separate dosing times, since dexamethaso...More",Absorption,,DDInter1002
No matching records,,,,,,DDInter1003
No matching records,,,,,,DDInter1004
No matching records,,,,,,DDInter1005
2,alcohol,"The combination of kava and alcohol poses a theoretical risk of additive hepatotoxicity during chronic concomitant use.  Studies in mice also suggest that the hypnotic effects of kava and alcohol may be synergistically increased when taken together, and that alcohol can markedly potentiate the toxicity of kava.","In general, patients should consult a healthcare provider before taking any herbal or alternative medicine.  Use of kava-containing products with alcohol should be avoided.  Patients using kava should...More",Synergy,,DDInter1006
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of ketamine.  Use in combination may result in additive central nervous system (CNS) depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving ketamine should not drink alcohol.  Caution is advised when ketamine is used in patients with acute alcohol intoxication or a history of chronic alcoholism.  Following anesthesia wi...More,Synergy,,DDInter1007
2,alcohol,"Excessive use of alcohol or products containing alcohol together with ketoconazole or levoketoconazole may potentiate the risk of liver injury.  Serious hepatotoxicity has been reported with levoketoconazole.  Fatal hepatotoxicity or requiring liver transplantation have been reported with the use of oral ketoconazole, of which levoketoconazole is an enantiomer.",Excessive consumption of alcohol should generally be avoided during ketoconazole or levoketoconazole therapy.  Patients receiving ketoconazole or levoketoconazole should be instructed to contact their...More,Synergy,,DDInter1008
2,alcohol,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,Synergy,,DDInter1009
